id,lyr,in_nspp
1,bio_vgpm,FALSE
2,fishing_KWH,FALSE
3,nspp_2100_bivalves,TRUE
4,nspp_2100_bony.fishes,TRUE
5,nspp_2100_cephalopods,TRUE
6,nspp_2100_cetaceans,TRUE
7,nspp_2100_chitons,TRUE
8,nspp_2100_corals,TRUE
9,nspp_2100_crustaceans,TRUE
10,nspp_2100_echinoderms,TRUE
11,nspp_2100_euphausiids,TRUE
12,nspp_2100_forams,TRUE
13,nspp_2100_gastropods,TRUE
14,nspp_2100_hydrozoans,TRUE
15,nspp_2100_jellyfish,TRUE
16,nspp_2100_other,TRUE
17,nspp_2100_pinnipeds,TRUE
18,nspp_2100_reptiles,TRUE
19,nspp_2100_sea.spiders,TRUE
20,nspp_2100_seagrasses,TRUE
21,nspp_2100_sharks.n.rays,TRUE
22,nspp_2100_sponges,TRUE
23,nspp_2100_tunas.n.billfishes,TRUE
24,nspp_2100_tunicates,TRUE
25,nspp_2100_worms,TRUE
26,nspp_bivalves,TRUE
27,nspp_bony.fishes,TRUE
28,nspp_cephalopods,TRUE
29,nspp_cetaceans,TRUE
30,nspp_chitons,TRUE
31,nspp_corals,TRUE
32,nspp_crustaceans,TRUE
33,nspp_echinoderms,TRUE
34,nspp_euphausiids,TRUE
35,nspp_forams,TRUE
36,nspp_gastropods,TRUE
37,nspp_hydrozoans,TRUE
38,nspp_jellyfish,TRUE
39,nspp_other,TRUE
40,nspp_pinnipeds,TRUE
41,nspp_reptiles,TRUE
42,nspp_sea.spiders,TRUE
43,nspp_seagrasses,TRUE
44,nspp_sharks.n.rays,TRUE
45,nspp_sponges,TRUE
46,nspp_tunas.n.billfishes,TRUE
47,nspp_tunicates,TRUE
48,nspp_worms,TRUE
49,phys_seamounts_0to200m,FALSE
50,phys_seamounts_gt200to800m,FALSE
51,phys_seamounts_gt800m,FALSE
52,phys_vents,FALSE
53,r_fish_effort_log,FALSE
54,rls_all,FALSE
55,rls_all_future,FALSE
56,rls_all_now,FALSE
57,s_bio_future_all,FALSE
58,s_bio_now_all,FALSE
59,s_bio_now_all_log10,FALSE
60,scapes_hetero,FALSE
61,seamounts_all,FALSE
