area,benthic,fishing,scapes,spp,vgpm,feature,relative_held
0.3,0.1,0.1,0.1,0.1,0.1,benthic,0.7608277847818461
0.3,0.1,0.1,0.1,0.1,0.1,fishing,0.8555623647612814
0.3,0.1,0.1,0.1,0.1,0.1,scapes,0.3829519315010651
0.3,0.1,0.1,0.1,0.1,0.1,spp,0.48001027417079867
0.3,0.1,0.1,0.1,0.1,0.1,vgpm,0.419484938214453
0.3,0.1,0.1,1,0.1,0.1,benthic,0.7022855469270213
0.3,0.1,0.1,1,0.1,0.1,fishing,0.8148720002285907
0.3,0.1,0.1,1,0.1,0.1,scapes,0.43164493047844865
0.3,0.1,0.1,1,0.1,0.1,spp,0.43356165916515454
0.3,0.1,0.1,1,0.1,0.1,vgpm,0.387345443152232
0.3,1,0.1,10,0.1,0.1,benthic,0.8419041980468104
0.3,1,0.1,10,0.1,0.1,fishing,0.695297162454151
0.3,1,0.1,10,0.1,0.1,scapes,0.4316413591861898
0.3,1,0.1,10,0.1,0.1,spp,0.3595932491754194
0.3,1,0.1,10,0.1,0.1,vgpm,0.34213985834519467
0.5,0.1,10,0.1,0.1,10,benthic,0.4495994374040828
0.5,0.1,10,0.1,0.1,10,fishing,0.9669932738871928
0.5,0.1,10,0.1,0.1,10,scapes,0.529335947351089
0.5,0.1,10,0.1,0.1,10,spp,0.7202160055124299
0.5,0.1,10,0.1,0.1,10,vgpm,0.6835352192222177
0.5,1,10,10,1,0.1,benthic,0.8270758663868866
0.5,1,10,10,1,0.1,fishing,0.9607295757812251
0.5,1,10,10,1,0.1,scapes,0.6382106061513927
0.5,1,10,10,1,0.1,spp,0.6039147512965699
0.5,1,10,10,1,0.1,vgpm,0.5458995586354328
